YEAR,TEAM,REB,AST,TOV,STL,BLK,plus/minus,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK
2018,Philadelphia 76ers,49.5,25.8,14.6,7.8,4.1,3.9,41.2,22.2,13.8,8,5.9
2018,Portland Trail Blazers,43.5,19,14.5,8.3,3.8,-9,43.3,26.5,14,8.3,6.5
2018,San Antonio Spurs,37.6,19,11,7.6,3,-8.8,47.4,26.8,13.6,6,5
2018,Toronto Raptors,40.1,21.8,14,5.7,6.1,-4.4,39.2,23.7,11.3,7.3,4.8
2018,Utah Jazz,45,20.3,15.5,7.5,5,-2.2,44.2,18.2,12.6,9.4,5.5
2018,Washington Wizards,40,23.3,13.5,7.8,5.2,-2,40.5,22.2,14.2,7.5,6.2
2017,Atlanta Hawks,44.3,22.3,16,6,3.3,-1.2,41.3,21.2,13,9.2,7.5
2017,Boston Celtics,37.9,26.9,13.4,7.7,4.1,-2.9,44.5,22.6,14.2,7.4,5.2
2017,Chicago Bulls,46.7,20,15.3,7.2,5.2,-6.8,39,27.3,12.3,8.2,3.7
2017,Cleveland Cavaliers,42.2,22.1,13.1,7.4,4.7,7.9,40.2,25.3,13.2,7.4,3.8
2017,Golden State Warriors,45.8,28.2,13.6,8.7,6.1,13.5,43.2,20.1,14,8.4,3.8
2017,Houston Rockets,42.9,19.5,14,7.7,4.6,1.2,46.8,22.5,12.5,7.9,7
2017,Indiana Pacers,42,22.5,13.3,8,3.8,-4,39.8,19.8,12.8,7,6.3
2017,LA Clippers,37.7,18.4,12.1,6.3,2.4,-1.1,37.6,20.1,12.1,7.4,3.1
2017,Memphis Grizzlies,35.5,18.8,11.3,5.2,2.5,-8.3,40,16.3,11.3,5.2,3.8
2017,Milwaukee Bucks,38,21.2,13.3,8.2,5,-0.7,41.8,18,14.3,7.5,4.7
2017,Oklahoma City Thunder,43.6,19.8,12.8,8.4,8,-8.6,45.4,16.6,14.8,7.4,5
2017,Portland Trail Blazers,44,15.8,15.3,7.3,4.8,-18,46.5,27.3,12.5,8.3,10.3
2017,San Antonio Spurs,44.4,21.3,12.8,7.8,4.7,1,39.8,22.4,13.8,7.9,3.9
2017,Toronto Raptors,39.3,19.6,12.9,7.4,4.4,-5.7,40,22,13.5,7.6,5
2017,Utah Jazz,39.1,19.7,12.1,7.4,3.2,-4.7,40.8,21.7,11.5,6.6,3.3
2017,Washington Wizards,43,22.8,13.8,7.9,6.6,0,40.8,25,14.6,7,4.4
